R2S1STS0202 1 21142 10 01 04 03 01 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S1STS0303 1 21143 10 01 04 03 02 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S1STS0404 1 21144 10 01 04 03 03 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S1STS0506 1 21241 10 01 04 03 04 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S1STS0708 1 21242 10 01 04 03 05 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S1STS0910 1 21341 10 01 04 03 06 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S1STS1112 1 21342 10 01 04 03 07 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S1AXS0101 1 21131 10 01 04 03 08 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S1AXS0202 1 21132 10 01 04 03 09 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S1AXS0303 1 21133 10 01 04 03 10 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S1AXS0404 1 21134 10 01 04 03 11 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S1AXS0506 1 21231 10 01 04 03 12 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S1AXS0708 1 21232 10 01 04 03 13 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S1AXS0910 1 21331 10 01 04 03 14 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S1AXS1112 1 21332 10 01 04 03 15 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S2STS0001 1 22141 10 01 04 03 16 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S2STS0202 1 22142 10 01 04 03 17 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S2STS0303 1 22143 10 01 04 03 18 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S2STS0404 1 22144 10 01 04 03 19 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S2STS0506 1 22241 10 01 04 03 20 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S2STS0708 1 22242 10 01 04 03 21 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S2STS0910 1 22341 10 01 04 03 22 1400.0 1.5 25.0 50.0 30.0 1500.0 
R2S2STS1112 1 22342 10 01 04 03 23 1400.0 1.5 25.0 50.0 30.0 1500.0 
